,target,day,strength,num_trajectories,pHat,pHat_std,FS_avg,FS_std,FS_conditional,FS_conditional_std
97,w1,5,0.0,500,0.684,0.020791536739741004,0.5682044,0.017267526140164954,0.8305836257309943,0.0005447831270503309
39,w1,5,0.5,500,0.716,0.020166506886419373,0.573722,0.0161566233548969,0.80118156424581,0.0005605554294357663
7,w1,5,1.0,500,0.674,0.020963015050321363,0.5116028,0.015911138472916385,0.7589169139465876,0.0007446834138371556
52,w1,5,1.5,500,0.728,0.019900552756142227,0.4992408,0.013653065104610024,0.6856554945054945,0.0008568393685166555
59,w1,5,2.0,500,0.706,0.020374690181693564,0.40797360000000005,0.011790062400431981,0.5777529745042492,0.0010665083156236625
3,w1,5,2.5,500,0.704,0.020414896521902825,0.3274852,0.0095584806345946,0.4650698863636364,0.001632776610225436
46,w1,5,3.0,500,0.682,0.020826713614970557,0.23101480000000002,0.0074482442737815735,0.33859237536656894,0.0035423223664596904
88,w1,5,3.5,500,0.662,0.02115447943108031,0.1456112,0.005530192104178659,0.2197607250755287,0.004543219985093319
21,w1,5,4.0,500,0.634,0.021542701780417423,0.0936968,0.004089045871535315,0.14754258675078866,0.004075148698913741
65,w1,5,4.5,500,0.676,0.020929596269398033,0.0682744,0.0031420493390906514,0.10072130177514792,0.0034625601418295576
86,w1,5,5.0,500,0.664,0.02112363605064242,0.0502172,0.002482015674471054,0.07534156626506024,0.0028831951279107725
63,w1,10,0.0,500,0.662,0.02115447943108031,0.5495572,0.017555745580758456,0.8300006042296073,0.0005349793791105863
22,w1,10,0.5,500,0.694,0.020608930103234373,0.5567608000000001,0.01652918882845495,0.8021164265129683,0.0005632366807526467
28,w1,10,1.0,500,0.674,0.020963015050321363,0.5116028,0.015911138472916385,0.7589169139465876,0.0007446834138371556
82,w1,10,1.5,500,0.672,0.02099599961897504,0.4597148,0.014365842066580016,0.6839565476190476,0.0008601886896919305
74,w1,10,2.0,500,0.7,0.020493901531919198,0.40786880000000003,0.011958116700096215,0.5825411428571429,0.0011198863919889817
36,w1,10,2.5,500,0.678,0.020895741192884256,0.3247688,0.010101937238625075,0.47887492625368727,0.002106136801451053
16,w1,10,3.0,500,0.664,0.02112363605064242,0.24862279999999998,0.008204005329125524,0.3742825301204819,0.003332406982870999
69,w1,10,3.5,500,0.712,0.020251222185339826,0.2076488,0.006450221059554471,0.2915033707865169,0.003672678760457322
42,w1,10,4.0,500,0.686,0.020755914819636352,0.145912,0.005296784280296866,0.2125387755102041,0.0042896135395262954
93,w1,10,4.5,500,0.708,0.0203340109176719,0.124972,0.004500581903709786,0.17637175141242936,0.003853518167283709
49,w1,10,5.0,500,0.686,0.020755914819636352,0.09974519999999999,0.004007462308484011,0.14521341107871719,0.0038640415910209144
0,w1,15,0.0,500,0.69,0.02068332661831747,0.5728544,0.017166398457488977,0.8300886956521738,0.0005109259988404001
60,w1,15,0.5,500,0.67,0.02102855201862458,0.5370124,0.01685133006538297,0.8013767164179105,0.0006291269689367371
91,w1,15,1.0,500,0.674,0.020963015050321363,0.5116028,0.015911138472916385,0.7589169139465876,0.0007446834138371556
45,w1,15,1.5,500,0.722,0.020035768016225385,0.4948152,0.013735635353995097,0.6852232686980609,0.0008183557102036166
40,w1,15,2.0,500,0.738,0.01966499427917537,0.4356724,0.011627306394710685,0.5902471544715447,0.0010398597504266585
