,target,day,strength,num_trajectories,pHat,pHat_std,FS_avg,FS_std,FS_conditional,FS_conditional_std
1,w1,5,0.0,500,0.712,0.020251222185339826,0.5911744,0.016810907496303703,0.830193820224719,0.0005045921741860742
4,w1,5,0.5,500,0.718,0.020123419192572618,0.5754428,0.01612651657911032,0.8013481894150417,0.0006120346807744985
14,w1,5,1.0,500,0.69,0.02068332661831747,0.5242680000000001,0.01571429840724682,0.7596771014492754,0.0007131456807952783
52,w1,5,1.5,500,0.686,0.020755914819636352,0.4677644,0.014157273111206126,0.6817411078717202,0.0008862784368613273
62,w1,5,2.0,500,0.684,0.020791536739741004,0.3977628,0.012101937733781315,0.5813795321637426,0.0010341293706910976
63,w1,5,2.5,500,0.714,0.020209106858047932,0.3338512,0.009518464004088054,0.4674577030812325,0.0016995183580953595
71,w1,5,3.0,500,0.692,0.020646355610615643,0.2365092,0.007424547867090628,0.341621387283237,0.0033819241397292097
85,w1,5,3.5,500,0.662,0.02115447943108031,0.14538919999999997,0.005474039233209787,0.21943504531722052,0.004400940837953231
92,w1,5,4.0,500,0.656,0.02124448163641561,0.0943164,0.004010802366370101,0.14356097560975611,0.003986044658518481
95,w1,5,4.5,500,0.636,0.02151762068631195,0.0653668,0.003090991535983235,0.10246729559748426,0.0034245674580556424
96,w1,5,5.0,500,0.654,0.021273645667821018,0.046147999999999995,0.0022811605537532862,0.07031559633027523,0.0026463741099140804
0,w1,10,0.0,500,0.676,0.020929596269398033,0.5611704000000001,0.017369278649606607,0.829998224852071,0.000527936333569081
3,w1,10,0.5,500,0.708,0.0203340109176719,0.5683556,0.016320070109447447,0.8026367231638418,0.0005945030697078304
11,w1,10,1.0,500,0.69,0.02068332661831747,0.5242680000000001,0.01571429840724682,0.7596771014492754,0.0007131456807952783
51,w1,10,1.5,500,0.672,0.02099599961897504,0.46021680000000004,0.014382670508480683,0.6846994047619048,0.0009113435417556356
61,w1,10,2.0,500,0.698,0.02053270561811083,0.4059308000000001,0.011954301994793338,0.5814292263610316,0.0010461056389454233
64,w1,10,2.5,500,0.658,0.021214900423994452,0.3145412,0.010190055417176101,0.4778705167173253,0.0016560481257042593
69,w1,10,3.0,500,0.684,0.020791536739741004,0.25806439999999997,0.008154616039108156,0.3771596491228071,0.0033000110926950624
77,w1,10,3.5,500,0.658,0.021214900423994452,0.18557200000000001,0.006508756639481921,0.281848632218845,0.003932726970212695
83,w1,10,4.0,500,0.66,0.021184900282984576,0.14319959999999998,0.005329741171921954,0.21679818181818178,0.004115056319366954
90,w1,10,4.5,500,0.702,0.020454632727086548,0.1146336,0.004403827097205339,0.16315669515669515,0.004104109377550076
93,w1,10,5.0,500,0.69,0.02068332661831747,0.0982816,0.0038592105465859203,0.1422568115942029,0.003633232231232114
26,w1,15,0.0,500,0.668,0.02106067425321421,0.5544624000000001,0.017475171897651822,0.8298868263473053,0.0005168577194423588
27,w1,15,0.5,500,0.706,0.020374690181693564,0.5664116000000001,0.01634317668664449,0.8021654390934844,0.0005749662777532394
32,w1,15,1.0,500,0.69,0.02068332661831747,0.5242680000000001,0.01571429840724682,0.7596771014492754,0.0007131456807952783
59,w1,15,1.5,500,0.69,0.02068332661831747,0.47312600000000005,0.014184735945656512,0.6855507246376811,0.0008337340552289333
67,w1,15,2.0,500,0.684,0.020791536739741004,0.40367000000000003,0.012283470179065848,0.590025730994152,0.0010744958549735557
70,w1,15,2.5,500,0.69,0.02068332661831747,0.3446272,0.0103840176328972,0.49933391304347824,0.0016410467231471875
79,w1,15,3.0,500,0.714,0.020209106858047932,0.30117960000000005,0.008703032352443602,0.42170924369747903,0.002508276501468918
91,w1,15,3.5,500,0.694,0.020608930103234373,0.24434720000000001,0.007688255762155678,0.3519544668587896,0.0036978724378627357
94,w1,15,4.0,500,0.68,0.020861447696648473,0.21100799999999997,0.007044787703827562,0.31017470588235296,0.004116165093053847
97,w1,15,4.5,500,0.72,0.020079840636817812,0.1905744,0.006205087768056145,0.26456166666666664,0.0044683448262316456
98,w1,15,5.0,500,0.694,0.020608930103234373,0.1652668,0.005873814940523748,0.23798674351585014,0.004672380267627482
65,w2,5,0.0,500,0.67,0.02102855201862458,0.6383364,0.0200261326648477,0.9525952238805969,0.0002413563876155063
66,w2,5,0.5,500,0.682,0.020826713614970557,0.5595028,0.01708042806443445,0.820242228739003,0.0005329861149798018
68,w2,5,1.0,500,0.69,0.02068332661831747,0.5242680000000001,0.01571429840724682,0.7596771014492754,0.0007131456807952783
72,w2,5,1.5,500,0.656,0.02124448163641561,0.4768464,0.015442545671426066,0.7267439024390244,0.0008286552152524906
73,w2,5,2.0,500,0.688,0.020719845559269985,0.4844404,0.014594251485282827,0.7039924418604651,0.0009239918769208861
74,w2,5,2.5,500,0.726,0.01994612744369192,0.49675520000000006,0.013655974545447865,0.6841112947658402,0.000943280874154394
75,w2,5,3.0,500,0.676,0.020929596269398033,0.44915400000000005,0.013910491767295648,0.6642970414201184,0.0008820213745339738
78,w2,5,3.5,500,0.676,0.020929596269398033,0.4349152,0.013470225620156479,0.6432360946745561,0.0008823229267740847
76,w2,5,4.0,500,0.686,0.020755914819636352,0.429118,0.012986771293589487,0.6253889212827988,0.000844845030207239
80,w2,5,4.5,500,0.662,0.02115447943108031,0.40251800000000004,0.012864441366495477,0.607877341389728,0.0008239872090279548
81,w2,5,5.0,500,0.696,0.020571047615520217,0.41174520000000003,0.012175115785647379,0.5914574712643679,0.000849318983045219
82,w2,10,0.0,500,0.658,0.021214900423994452,0.6259716000000001,0.020173075628343834,0.9511665653495441,0.00024072779885745546
84,w2,10,0.5,500,0.694,0.020608930103234373,0.5690044000000001,0.01689271440951039,0.8197694524495677,0.0005180459456043032
86,w2,10,1.0,500,0.69,0.02068332661831747,0.5242680000000001,0.01571429840724682,0.7596771014492754,0.0007131456807952783
