,OR,p,pHat,pHat_std,FS_avg,FS_std,FS_conditional,FS_conditional_std,exp_error_5,poly_error_5,exp_error_10,poly_error_10,exp_error_15,poly_error_15
21,0.01,0.48,0.74,0.019616319736382767,0.4506588,0.011958961705981002,0.6088972972972972,0.0009407642530515053,5.210560069946754e-08,2.093916906149063e-06,1.3803338006895021e-06,0.000405893585429789,0.00023332704736628366,0.00577810646375553
22,0.02,0.48,0.748,0.019416281827373642,0.45796000000000003,0.011906154469013074,0.6121342245989305,0.001075772165730442,5.210560069946754e-08,2.093916906149063e-06,1.9718398622922774e-07,0.00037311002964199324,0.00016249026874276223,0.0053139538720710245
23,0.03,0.48,0.74,0.019616319736382767,0.4565748,0.01211926374702358,0.6168989189189189,0.0010134874936031761,5.210560069946754e-08,2.093916906149063e-06,4.1850690803969515e-07,0.0003834378532423172,0.00019038730862809685,0.005484474492751846
24,0.04,0.48,0.726,0.01994612744369192,0.4513152,0.01241281469522203,0.6215278236914601,0.001017518495920046,3.518094826890791e-08,2.0622091553782966e-06,1.3952487229283347e-06,0.000404813834273696,0.0001834863348912886,0.005499737489829223
26,0.05,0.48,0.74,0.019616319736382767,0.4628292,0.012285880353264068,0.6253437837837839,0.0010496758367839075,3.518094826890791e-08,2.0622091553782966e-06,4.974839087035182e-06,0.0004489460772329033,0.0003635963732471606,0.00640554270052654
28,0.06,0.46,0.724,0.01999119806314769,0.4585652,0.012675635348885673,0.6332624309392265,0.0010307286513016832,6.91527745938085e-08,2.1691488427168262e-06,1.5054959192395711e-06,0.00040788948091134025,0.00022108256172956883,0.005712213483637931
25,0.07,0.46,0.68,0.020861447696648473,0.43273799999999996,0.013283688541666429,0.636224705882353,0.0010159579337265764,2.9485960411685677e-08,1.5740133022570246e-06,8.342805490271073e-08,0.00035267016836745666,6.65024256860355e-05,0.004604892526350757
27,0.08,0.46,0.732,0.0198078772209442,0.47034440000000005,0.01273764013533433,0.6424158469945356,0.0009708287675895856,3.2679046655153554e-08,1.4654268527524126e-06,7.063252061556362e-07,0.0003860233067032702,0.00022229904524663746,0.005673483668977464
33,0.09,0.46,0.73,0.019854470529329156,0.47002,0.012801116807528943,0.6437567123287672,0.0011035531962743242,6.91527745938085e-08,2.1691488427168262e-06,1.0710682647100058e-06,0.00039758466862099243,0.00010885413691395488,0.005080015620770822
31,0.1,0.46,0.69,0.02068332661831747,0.4481508,0.013444718295253344,0.6493669565217391,0.0010488870420219884,6.91527745938085e-08,2.1691488427168262e-06,4.2808585309611056e-07,0.00038323049444808076,0.00021876587438627313,0.005612014206575001
30,0.11,0.44,0.722,0.020035768016225385,0.47201279999999995,0.013110237904489758,0.6536393351800555,0.0010078808004544044,1.575439422459393e-08,1.433719101981646e-06,3.6070216266329e-07,0.000374717565454772,0.00015750438391349145,0.005261472329830975
32,0.12,0.44,0.706,0.020374690181693564,0.4644444,0.013414559268842191,0.6577354107648725,0.0010154146128486029,5.210560069946754e-08,2.093916906149063e-06,5.214484243007376e-06,0.0004505538248145778,0.0003718171652516188,0.006402566248571352
37,0.13,0.44,0.722,0.020035768016225385,0.47696479999999997,0.013248579495248538,0.6604941828254848,0.0010428332336393884,1.6034888404324846e-08,1.6575586676575376e-06,1.5218117265510379e-06,0.0004048636938143186,9.245726459386277e-05,0.005012943793163441
35,0.14,0.42,0.714,0.020209106858047932,0.47626160000000006,0.013489210293077945,0.6669159663865546,0.0009576442099794965,3.518094826890791e-08,2.0622091553782966e-06,3.1236471338435146e-06,0.00042935409268930963,0.0003397651425131251,0.006237722654676027
34,0.15,0.42,0.72,0.020079840636817812,0.4830548,0.01348127034644436,0.6707816666666667,0.0009852839997610767,7.9293021683674e-08,2.2910686255547727e-06,3.6507744344748654e-06,0.0004352114940320719,0.00018584122967452903,0.005596125125068654
39,0.16,0.42,0.742,0.019567115270269147,0.5027348,0.013265508104023757,0.6774345013477089,0.0008781982160008401,6.91527745938085e-08,2.1691488427168262e-06,1.0627006755822026e-06,0.0003996282869847951,0.000112256751434265,0.005139589396794379
38,0.17,0.42,0.706,0.020374690181693564,0.4776204,0.013857564390890632,0.6763903682719546,0.0021382691607909135,5.0006714729225435e-08,1.7644983549960677e-06,3.2366854613672946e-06,0.00042695718765345424,0.000333068471087366,0.006232953727475873
29,0.18,0.4,0.686,0.020755914819636352,0.4695748,0.014212051038816318,0.6843720116618076,0.0009061830978796668,1.6034888404324846e-08,1.6575586676575376e-06,2.5475709348169686e-06,0.00042029899087757275,0.00033153334468478084,0.00618614843176277
36,0.19,0.4,0.712,0.020251222185339826,0.491576,0.013986497058520406,0.6902915730337078,0.0008617326286824238,6.91527745938085e-08,2.1691488427168262e-06,1.4906191595158815e-06,0.0004073800102611654,9.591296358368244e-05,0.005034613740891756
15,0.2,0.4,0.698,0.02053270561811083,0.4832424,0.014221310856755785,0.6921936962750717,0.0009324496608547848,9.609993544020612e-08,2.4196550750593847e-06,2.9107607145669646e-06,0.00042706243362636764,0.000269849332379267,0.005905678431576674
60,0.21,0.4,0.712,0.020251222185339826,0.49718559999999995,0.014146301110370865,0.6981724719101123,0.0008696531688798575,6.91527745938085e-08,2.1691488427168262e-06,2.4416464241858334e-06,0.0004203427376909554,0.00022266624923634407,0.005705050304387858
65,0.22,0.4,0.744,0.01951737687293044,0.5223131999999999,0.013708873335599829,0.7019397849462365,0.0008380367233303188,1.575439422459393e-08,1.433719101981646e-06,2.159367217850679e-06,0.0004176530266487591,0.00024257841572276401,0.005805160384474929
74,0.23,0.38,0.774,0.01870422412183943,0.5483356000000001,0.01325635548803969,0.7083452196382428,0.0007764374118322678,6.91527745938085e-08,2.1691488427168262e-06,9.642251331619612e-07,0.0003939644196702209,0.00020172842397653666,0.005601563933691692
62,0.24,0.38,0.7,0.020493901531919198,0.49968720000000005,0.0146328282048386,0.7137165714285716,0.0008406802099452476,3.2679046655153554e-08,1.4654268527524126e-06,7.073688925079303e-07,0.0003322703039998087,3.805486054260692e-06,0.003878802796793139
66,0.25,0.38,0.684,0.020791536739741004,0.49129,0.014933307597448061,0.7181146198830409,0.0007642779691327267,1.6034888404324846e-08,1.6575586676575376e-06,7.027373257927916e-07,0.0003878797442716784,0.0001866445912603321,0.005476164325380313
77,0.26,0.36,0.728,0.019900552756142227,0.5272748,0.014413989566040347,0.7241648351648352,0.0006904297631439628,5.0006714729225435e-08,1.7644983549960677e-06,3.5592079402560485e-07,0.00037627267602037854,0.00013495154375198874,0.005193373703666535
69,0.27,0.36,0.7,0.020493901531919198,0.510288,0.014940840946613413,0.7288594285714286,0.0007637880028861214,6.91527745938085e-08,2.1691488427168262e-06,2.456211362795909e-06,0.0004214897099903656,0.0003274838021933541,0.0061694860563432305
76,0.28,0.36,0.73,0.019854470529329156,0.5359584,0.014577330731614756,0.7340854794520547,0.0006631380673634512,5.210560069946754e-08,2.093916906149063e-06,7.968166886537052e-07,0.0003882475362350483,0.0001171135217384011,0.005095503448290666
78,0.29,0.36,0.714,0.020209106858047932,0.5274888,0.014930052396060772,0.7386532212885153,0.0007226073651260038,3.4900454089177e-08,1.8383695897024048e-06,2.2682587807196085e-07,0.00034920592958962983,3.296734092898434e-05,0.004427555523632772
79,0.3,0.36,0.718,0.020123419192572618,0.5340744000000001,0.014968280386513343,0.7437186629526462,0.0006873881177276625,3.2959540834884474e-08,1.6892664184283041e-06,1.678548064252925e-07,0.000371726414371302,6.726152008983506e-05,0.004763158399806805
67,0.31,0.34,0.72,0.020079840636817812,0.5401236000000001,0.015063491940651742,0.7500561111111113,0.0007006951274941916,4.9726220549494515e-08,1.540658789320176e-06,1.0737533715156408e-06,0.00039780088467476733,0.00012307875447282584,0.0051889339727556796
73,0.32,0.34,0.738,0.01966499427917537,0.5577340000000001,0.014860274261533668,0.7556205962059619,0.0006376619679505081,3.2679046655153554e-08,1.4654268527524126e-06,7.097974525998552e-07,0.0003864688484593572,8.97500796864146e-05,0.004977372729959861
68,0.33,0.34,0.732,0.0198078772209442,0.5555988,0.01503374260778466,0.758903825136612,0.0006473372131299323,3.105615771434645e-08,1.909207630572565e-06,6.039775996282407e-07,0.00038785559774058673,8.662518651752699e-05,0.004923487036694896
63,0.34,0.34,0.702,0.020454632727086548,0.5372992,0.015653908603244112,0.7652518518518517,0.0006811067697034832,7.905276154586515e-08,2.3444231384916215e-06,2.7268801299226903e-06,0.00042502490448668594,6.875788114824995e-05,0.004803263363267182
71,0.35,0.32,0.724,0.01999119806314769,0.5585160000000001,0.015418957131012458,0.7713077348066297,0.0005966027052209093,5.0006714729225435e-08,1.7644983549960677e-06,2.5939161024811334e-06,0.00042148134765479745,0.0003539770187495847,0.006272304259760761
64,0.36,0.32,0.714,0.020209106858047932,0.5548188000000001,0.015701799879412552,0.7769478991596639,0.0006021835092478956,5.210560069946754e-08,2.093916906149063e-06,4.7646423167656906e-07,0.00037827627053073777,0.00010646922094708829,0.005026949934052887
61,0.37,0.32,0.71,0.020292855885754475,0.5543384000000001,0.015842628532250578,0.7806501408450703,0.0006332611613044381,3.2679046655153554e-08,1.4654268527524126e-06,4.443603137117744e-06,0.000441864588075288,0.0003026962213995747,0.006148756824699458
75,0.38,0.32,0.712,0.020251222185339826,0.559218,0.015901450383911525,0.7852808988764045,0.0005841885620055332,3.2679046655153554e-08,1.4654268527524126e-06,1.690796769916352e-07,0.000365861915793046,6.891342613246805e-05,0.004718933764822984
72,0.39,0.3,0.72,0.020079840636817812,0.5697840000000001,0.01588888198357581,0.7912622222222222,0.0005990437739203225,6.887228041407758e-08,1.945309277040935e-06,9.65324156411192e-07,0.0003960630247066701,5.550987586279307e-05,0.004711552799864639
70,0.4,0.3,0.7,0.020493901531919198,0.5575772,0.0163200226593078,0.7964022857142856,0.0005863592140744689,3.518094826890791e-08,2.0622091553782966e-06,4.857464376434081e-07,0.000385267173124545,0.00015064016736821817,0.005319340384985357
94,0.41,0.3,0.74,0.019616319736382767,0.5923568,0.015701070479031676,0.8003848648648647,0.0005814402111040322,1.08833871065404e-08,1.436239644033696e-06,7.828217081852803e-07,0.00039121905522854846,0.00012114972014660319,0.005124313711086971
89,0.42,0.28,0.684,0.020791536739741004,0.551246,0.01675179524492823,0.8057789473684212,0.0005703766957826477,6.91527745938085e-08,2.1691488427168262e-06,3.808793017833999e-06,0.00043719793949686546,0.00025396979177644665,0.005882756985359527
98,0.43,0.28,0.73,0.019854470529329156,0.5913976,0.01608198028566383,0.8100273972602741,0.0005504521148103371,1.575439422459393e-08,1.433719101981646e-06,2.7185574743597334e-07,0.000376053088133756,0.00019653614534830512,0.005509136063880973
95,0.44,0.28,0.722,0.020035768016225385,0.5884896,0.016327278835852593,0.8149711911357341,0.000530844638015499,3.2959540834884474e-08,1.6892664184283041e-06,6.60368652895947e-07,0.00038891520244566856,0.00016547821707152616,0.005404605906748767
93,0.45,0.28,0.704,0.020414896521902825,0.5770964000000001,0.01673110368547395,0.8196181818181819,0.0005547663642600822,3.2959540834884474e-08,1.6892664184283041e-06,3.429534989107832e-06,0.00043283046509138006,0.0002687947064765261,0.0059578347048403575
90,0.46,0.26,0.732,0.0198078772209442,0.6029648,0.01631356510643581,0.8236180327868853,0.0005564897106417647,1.6034888404324846e-08,1.6575586676575376e-06,2.2482057529049573e-06,0.00041847928440526304,0.00020376701995847892,0.005642719300200007
91,0.47,0.26,0.72,0.020079840636817812,0.59624,0.016623864609650787,0.8279911111111111,0.0005146133898521191,3.518094826890791e-08,2.0622091553782966e-06,1.436018679022446e-06,0.0004058974364377002,0.0001956453633717365,0.005607704062056346
92,0.48,0.26,0.7,0.020493901531919198,0.5827464,0.01705548209386296,0.832356,0.0005209147558450836,1.575439422459393e-08,1.433719101981646e-06,2.324886860775628e-06,0.00041545585314242467,0.00012054251425372046,0.005206424800675138
97,0.49,0.26,0.726,0.01994612744369192,0.6071360000000001,0.016676239244146143,0.8361685950413225,0.0004747495864624362,6.91527745938085e-08,2.1691488427168262e-06,1.3124761229851395e-06,0.0004045659578048816,0.00017950869431877293,0.005493537375883133
96,0.5,0.26,0.738,0.01966499427917537,0.6203864,0.016527722677673412,0.8405387533875338,0.0004736285128080414,5.0006714729225435e-08,1.7644983549960677e-06,4.976096945578207e-07,0.000376412704265957,7.175447740403322e-05,0.004858265754709587
10,0.51,0.24,0.746,0.019467100451787882,0.6297760000000001,0.01643010567854023,0.8441040214477211,0.00045775534065646973,1.575439422459393e-08,1.433719101981646e-06,2.3793258762752815e-07,0.0003545456657969969,2.10294086010078e-05,0.004169690098255454
14,0.52,0.24,0.732,0.0198078772209442,0.621206,0.016804528954064733,0.8485267759562841,0.0004516217206835638,6.91527745938085e-08,2.1691488427168262e-06,1.3684189870819765e-06,0.00040458484989689693,0.00020043081416206088,0.0055721320541764745
18,0.53,0.24,0.728,0.019900552756142227,0.6198592,0.016940059731616063,0.8513516483516484,0.00045175953996017893,6.91527745938085e-08,2.1691488427168262e-06,4.964186799575521e-07,0.0003836634994301564,7.367070151730584e-05,0.004795931542556144
11,0.54,0.22,0.722,0.020035768016225385,0.6182108000000001,0.017149872086016267,0.8561180055401663,0.0004890173010266699,4.9726220549494515e-08,1.540658789320176e-06,3.956030211638124e-07,0.000380937698641181,6.642389033395162e-05,0.004741256559555351
20,0.55,0.22,0.72,0.020079840636817812,0.6190248,0.01725852864325114,0.8596411111111111,0.00044975328932871935,6.91527745938085e-08,2.1691488427168262e-06,1.84672160616612e-06,0.0004124038220395045,0.0001198902608338804,0.00521339435016493
6,0.56,0.22,0.682,0.020826713614970557,0.5894024000000001,0.017993288339502596,0.8640961876832846,0.00046706884935023517,5.210560069946754e-08,2.093916906149063e-06,1.361538066132385e-06,0.0004059845253894744,0.0001945893458317492,0.005585735799505703
13,0.57,0.22,0.726,0.01994612744369192,0.6295716000000001,0.017290734688464805,0.8670606060606061,0.000402056151098794,5.210560069946754e-08,2.093916906149063e-06,1.9796228030108152e-06,0.0004153911560949899,0.00014838792521296138,0.00531030518744721
19,0.58,0.22,0.76,0.019099738218101316,0.6614492000000001,0.016618033052040782,0.8702257894736841,0.00042390242225691073,2.4170257599839527e-08,1.700463491128505e-06,1.4635574845252352e-06,0.0004031889595509531,0.00019268626979097628,0.005581169244295582
0,0.59,0.2,0.698,0.02053270561811083,0.6094696000000002,0.017921629182406376,0.873028653295129,0.00042773941342450525,3.2679046655153554e-08,1.4654268527524126e-06,5.80957463267856e-07,0.0003351660258092483,6.504617690628586e-06,0.003849514358491874
9,0.6,0.2,0.744,0.01951737687293044,0.6530191999999999,0.017124825419919467,0.8776037634408602,0.00039743107479037545,4.9726220549494515e-08,1.540658789320176e-06,6.499697830865536e-07,0.000390328418795868,2.9986445562680664e-05,0.004483972067322152
2,0.61,0.2,0.662,0.02115447943108031,0.5826164,0.018610215601708648,0.8799329305135951,0.00041219522415452553,4.214056671152961e-08,1.2365462029724212e-06,8.939629436729959e-07,0.00035321529513593293,7.106174524819801e-05,0.004769939866189531
4,0.62,0.2,0.704,0.020414896521902825,0.6222104,0.018037360803168517,0.8837028409090909,0.000420019711025809,1.575439422459393e-08,1.433719101981646e-06,9.562797402680235e-08,0.0003644524049719568,5.1916775780908537e-05,0.004617262893090501
17,0.63,0.18,0.77,0.018820201911775546,0.682776,0.0166839385891941,0.8866363636363636,0.00038714554436121884,9.609993544020612e-08,2.4196550750593847e-06,3.401523493797835e-06,0.0004322007196962928,0.0001647413657146426,0.005500540017208077
7,0.64,0.18,0.704,0.020414896521902825,0.6261244,0.018148055223887762,0.8892289772727273,0.00037577296833731476,5.396252097997135e-08,2.124866207766278e-06,3.0636163260622937e-06,0.0004293269765355516,0.00019069040033938104,0.005580915490225503
8,0.65,0.18,0.742,0.019567115270269147,0.6618608,0.017449160904946692,0.8919040431266846,0.00038417811538709923,5.222812216324887e-08,2.1374410919460597e-06,1.4401059363253986e-06,0.0004042925807009549,0.00023473565720739375,0.005749450907668949
12,0.66,0.16,0.732,0.0198078772209442,0.6552231999999999,0.01772411947272755,0.8949989071038252,0.0003899541724905501,6.91527745938085e-08,2.1691488427168262e-06,3.533105437242453e-07,0.0003464286695929546,5.807158024913885e-05,0.004634524222030012
16,0.67,0.16,0.738,0.01966499427917537,0.6629356000000001,0.01765804200768817,0.898168563685637,0.00036955902721375034,5.210560069946754e-08,2.093916906149063e-06,4.2605251112298435e-07,0.0003770209611044578,5.403824438722819e-05,0.00460855190102741
5,0.68,0.16,0.71,0.020292855885754475,0.6392284,0.018263413581991732,0.9002011267605635,0.00035618645720679286,5.210560069946754e-08,2.093916906149063e-06,1.6150381435489879e-06,0.0004080334892592551,9.26491037522449e-05,0.005026700352030985
1,0.69,0.16,0.682,0.020826713614970557,0.6155444,0.01878935136020613,0.9024111436950147,0.0003641156340955578,3.518094826890791e-08,2.0622091553782966e-06,4.375251197059717e-07,0.00038340503758356177,6.865775865441345e-05,0.004787270877400123
3,0.7,0.14,0.722,0.020035768016225385,0.6537392,0.018134746034249277,0.9053346260387812,0.00037154546670377527,6.887228041407758e-08,1.945309277040935e-06,1.9224544649436987e-07,0.00036647223590949475,3.794350203071483e-05,0.004512970509380817
47,0.71,0.14,0.748,0.019416281827373642,0.6792355999999999,0.01762626219325243,0.9079786096256685,0.0003461366925759535,1.08833871065404e-08,1.436239644033696e-06,3.4240008085609135e-07,0.0003691379418400732,0.00015113191305061015,0.005332414941560929
40,0.72,0.14,0.708,0.0203340109176719,0.6447272000000001,0.018509449347841767,0.910502824858757,0.000346413123615626,3.2959540834884474e-08,1.6892664184283041e-06,4.260565027694217e-06,0.00043928082636136384,0.0002896879453542017,0.00608101736956072
44,0.73,0.14,0.724,0.01999119806314769,0.6608744000000001,0.018241973019640173,0.9127005524861879,0.0003471488818284565,5.210560069946754e-08,2.093916906149063e-06,2.060994294499033e-06,0.00041623103757672307,0.00017417511563907247,0.005481553685168419
41,0.74,0.14,0.666,0.02109236828807993,0.6096748,0.0193001298443798,0.9152714714714716,0.00035566737674023796,6.91527745938085e-08,2.1691488427168262e-06,2.0318709767828936e-06,0.00041524506687086894,0.00011738915295878274,0.005203671554432305
42,0.75,0.12,0.724,0.01999119806314769,0.6642336,0.018334991673357257,0.9173469613259668,0.00032557638446915736,1.6034888404324846e-08,1.6575586676575376e-06,3.8508048877441647e-07,0.0003805504304166293,0.00011149826978217168,0.0051221057144073745
