,Bstar,pHat,pHat_std,FS_avg,FS_std,FS_conditional,FS_conditional_std
12,0.01,0.79,0.0407308237088326,0.576018,0.029713858193778874,0.7290759493670885,0.0016120572128763048
64,0.02,0.72,0.0448998886412873,0.5204580000000001,0.03246103760448825,0.7227444444444445,0.0016983889525940623
27,0.03,0.78,0.04142463035441595,0.564818,0.030006120188388236,0.7240461538461537,0.001552643704482563
1,0.04,0.73,0.044395945760846225,0.524332,0.031889362517303475,0.7181260273972603,0.0016915562242320718
89,0.05,0.75,0.04330127018922193,0.536798,0.031002779810204117,0.7156559999999998,0.0016148315247521442
36,0.06,0.67,0.04702127178203499,0.47887799999999997,0.03361355522940113,0.7146149253731342,0.0018838650279858875
51,0.07,0.64,0.048,0.457734,0.03432566294246915,0.71504375,0.0017219201942231348
86,0.08,0.67,0.04702127178203499,0.478172,0.03356171628746063,0.7135522388059702,0.0018416535885823922
3,0.09,0.66,0.04737087712930804,0.470584,0.033772576174168296,0.7128666666666668,0.0015883548519138944
2,0.1,0.6,0.04898979485566356,0.4270399999999999,0.03485501042891825,0.7114766666666666,0.001906125165918583
0,0.11,0.72,0.0448998886412873,0.508624,0.031725760294120615,0.7063111111111112,0.0017592738790815536
50,0.12,0.71,0.04537620521815371,0.5019020000000001,0.03208506225582241,0.7067830985915494,0.0018665697060193213
37,0.13,0.76,0.04270831300812525,0.537966,0.03024080780071855,0.7077368421052633,0.0017677325199637346
14,0.14,0.7,0.045825756949558406,0.493538,0.0323136870932427,0.704917142857143,0.0018150324351164577
77,0.15,0.7,0.045825756949558406,0.4925420000000001,0.03225765686406872,0.703517142857143,0.002009054982870864
26,0.16,0.62,0.048538644398046386,0.434466,0.03400785627527851,0.7005451612903226,0.0019129993412987198
65,0.17,0.6,0.04898979485566356,0.4193259999999999,0.03423677106912976,0.6986833333333333,0.002074015384420958
76,0.18,0.74,0.04386342439892262,0.517442,0.03068364740965455,0.6991540540540541,0.0017655271606005032
17,0.19,0.57,0.04950757517794625,0.398138,0.034584084743708346,0.6982491228070175,0.0025733213760277675
49,0.2,0.67,0.04702127178203499,0.465006,0.03263022677886257,0.6938537313432837,0.00178818469196386
40,0.21,0.67,0.04702127178203499,0.46684600000000004,0.032761524855232246,0.6965940298507464,0.0019105129193611162
88,0.22,0.56,0.04963869458396342,0.3872859999999999,0.03432618210695736,0.6913678571428571,0.0021499452816109727
4,0.23,0.63,0.048280430818293245,0.436176,0.03343122232644209,0.692136507936508,0.0023040482755294594
29,0.24,0.65,0.047696960070847276,0.447932,0.03287834110413724,0.6889969230769232,0.0020392062143207465
62,0.25,0.65,0.047696960070847276,0.44659600000000005,0.03277117684551472,0.6868707692307691,0.0020549535741909365
16,0.26,0.54,0.04983974317750845,0.37156999999999996,0.034292855042996936,0.6877999999999999,0.0026639955758190636
73,0.27,0.62,0.048538644398046386,0.42270399999999997,0.03308998283227116,0.6815419354838709,0.0021856612812019027
63,0.28,0.68,0.0466476151587624,0.462576,0.031733948418688776,0.6800823529411764,0.0019322532667198267
25,0.29,0.65,0.047696960070847276,0.439756,0.03227889534417186,0.6763692307692307,0.00227682424221764
41,0.3,0.62,0.048538644398046386,0.42064599999999996,0.0329229586586625,0.6782096774193548,0.002005878081183765
30,0.31,0.6,0.04898979485566356,0.40536600000000006,0.03309631412166618,0.6753566666666667,0.0023217909354953025
74,0.32,0.53,0.04990991885387112,0.355482,0.033467938459964944,0.6704415094339622,0.002287541806923152
15,0.33,0.59,0.04918333050943175,0.393638,0.03280803080893457,0.6669491525423727,0.002026770522913279
39,0.34,0.58,0.04935585071701227,0.387208,0.032936830924665476,0.6673586206896551,0.0017265277135902668
48,0.35,0.6,0.04898979485566356,0.39825200000000005,0.03251836473379312,0.6635266666666666,0.0022876818284342233
5,0.36,0.54,0.04983974317750845,0.35769799999999996,0.033010907105985435,0.6621370370370371,0.002414876300478728
87,0.37,0.64,0.048,0.42533,0.03190121080774208,0.66435625,0.0021981991419735922
52,0.38,0.54,0.04983974317750845,0.35414,0.032684002998408866,0.6555333333333334,0.0025427645540834947
38,0.39,0.53,0.04990991885387112,0.34842999999999996,0.03279327899128113,0.6570943396226415,0.0019204070098860198
18,0.4,0.57,0.04950757517794625,0.37195999999999996,0.032309137159633336,0.6523122807017544,0.002485355160738681
66,0.41,0.56,0.04963869458396342,0.362042,0.03208866806771512,0.6461714285714285,0.0026579368464813807
22,0.42,0.54,0.04983974317750845,0.34814,0.032119876525291934,0.6443555555555556,0.002379874849256844
80,0.43,0.62,0.048538644398046386,0.390028,0.03119086622971539,0.6288419354838708,0.01049577798978022
55,0.44,0.65,0.047696960070847276,0.409614,0.03072142044307196,0.62996,0.009984397010768305
46,0.45,0.56,0.04963869458396342,0.3581660000000001,0.03175405272465233,0.6392714285714286,0.0028831602407360124
91,0.46,0.44,0.04963869458396343,0.276362,0.031165555819847014,0.6276272727272727,0.003065622440330291
11,0.47,0.45,0.049749371855331,0.28346999999999994,0.031312879187324824,0.6294088888888888,0.0025788117126126844
45,0.48,0.45,0.049749371855331,0.27482399999999996,0.030969704458389657,0.6101644444444444,0.013886484825023589
59,0.49,0.5,0.05,0.311572,0.03115694054556705,0.6228,0.0029159478733338136
75,0.5,0.54,0.04983974317750845,0.33358600000000005,0.030775791688273428,0.6173481481481482,0.00255417668214222
54,0.51,0.57,0.04950757517794625,0.3434420000000001,0.030415309604868407,0.6022807017543861,0.010669289681702077
10,0.52,0.48,0.049959983987187186,0.28842,0.02999895164834932,0.6003999999999999,0.0025440562537456237
92,0.53,0.56,0.04963869458396342,0.335486,0.029751711380019807,0.5987357142857143,0.0031729368483221073
67,0.54,0.51,0.04998999899979995,0.30379,0.029776144461632365,0.5952705882352941,0.002993515090334496
35,0.55,0.5,0.05,0.296554,0.02965944812096139,0.5926480000000001,0.0034438516112051047
79,0.56,0.5,0.05,0.29272599999999993,0.02925412362796056,0.5850119999999999,0.0024427486813014547
23,0.57,0.52,0.049959983987187186,0.302948,0.02909405267335577,0.5820192307692309,0.0031911455698216662
32,0.58,0.48,0.049959983987187186,0.268796,0.028535044556474765,0.5595875,0.012093612590735313
68,0.59,0.39,0.048774993593028795,0.22061399999999998,0.027548407323110348,0.5648564102564103,0.002891534254815109
28,0.6,0.43,0.04950757517794625,0.23585799999999996,0.0276590707428865,0.5476,0.013131739198008823
96,0.61,0.45,0.049749371855331,0.25175,0.02780985816216976,0.5587422222222223,0.0033675378247870857
43,0.62,0.42,0.04935585071701227,0.22949199999999997,0.0269443514555463,0.5455714285714286,0.003791699799084193
56,0.63,0.4,0.04898979485566356,0.19910399999999995,0.0259621063059221,0.49717,0.022602613289175212
82,0.64,0.43,0.04950757517794625,0.22575599999999996,0.025978621607775882,0.5243813953488372,0.0034074827083844356
19,0.65,0.39,0.048774993593028795,0.19736199999999995,0.025168144897071774,0.5050871794871795,0.013569490074216355
72,0.66,0.33,0.04702127178203499,0.16893199999999997,0.02403320673068827,0.5107818181818182,0.0042930773809060655
33,0.67,0.35,0.047696960070847276,0.170934,0.023754394971036413,0.48722857142857134,0.014450255034217764
24,0.68,0.37,0.048280430818293245,0.167682,0.02280945980859696,0.4519567567567567,0.01826163578974167
81,0.69,0.31,0.04624932431938871,0.13611199999999998,0.021293626900084447,0.438,0.02138884146048711
61,0.7,0.38,0.048538644398046386,0.16379199999999997,0.022303811319144537,0.4302684210526316,0.0207607319993224
83,0.71,0.4,0.04898979485566356,0.160138,0.02131806983664328,0.39959,0.021244066171521872
34,0.72,0.35,0.047696960070847276,0.143456,0.02047005502288648,0.40876571428571423,0.01807028361945278
71,0.73,0.34,0.04737087712930804,0.12830599999999998,0.019073202029024912,0.3758294117647059,0.020410571472756323
95,0.74,0.37,0.048280430818293245,0.129618,0.018215339051469777,0.3494108108108108,0.01873998930572603
8,0.75,0.39,0.048774993593028795,0.132378,0.018016347442253663,0.3385846153846154,0.01861918642341396
57,0.76,0.21,0.0407308237088326,0.056102,0.012198323653682912,0.26522857142857137,0.027164476889215507
42,0.77,0.26,0.04386342439892262,0.063812,0.012350623569682626,0.24375384615384615,0.02394841919575113
9,0.78,0.28,0.0448998886412873,0.07264999999999999,0.012859381750301995,0.25756428571428575,0.020324151345516295
90,0.79,0.31,0.04624932431938871,0.06988199999999999,0.01198351971500861,0.22423870967741935,0.01950406434733333
78,0.8,0.26,0.04386342439892262,0.04266800000000001,0.009527686065357106,0.16244615384615385,0.024436044546932746
69,0.81,0.21,0.0407308237088326,0.030555999999999996,0.007364349573451822,0.1431047619047619,0.021590296044147812
20,0.82,0.25,0.04330127018922193,0.029787999999999995,0.006591820276676238,0.11721599999999999,0.016955874668090704
85,0.83,0.2,0.04,0.021425999999999997,0.005352383883840919,0.10451999999999999,0.016867568882325632
60,0.84,0.2,0.04,0.017512,0.004859252057673074,0.08463999999999999,0.01756507671489083
44,0.85,0.21,0.0407308237088326,0.013741999999999999,0.004196352983246285,0.0629904761904762,0.015906030609167357
93,0.86,0.15,0.035707142142714254,0.007312,0.0029609759472174037,0.045026666666666666,0.016669203718012227
7,0.87,0.16,0.03666060555964672,0.008732,0.002653363480565752,0.050275,0.012098991112382057
47,0.88,0.14,0.03469870314579494,0.0037179999999999995,0.0010505735385968943,0.0226,0.005142857142857143
53,0.89,0.12,0.03249615361854384,0.0032719999999999993,0.0011652691362942726,0.022566666666666662,0.007661731503363298
13,0.9,0.13,0.03363034344160047,0.003154,0.0009034328087910024,0.018630769230769232,0.0051637721249135
58,0.91,0.15,0.035707142142714254,0.002775999999999999,0.0008893200998515663,0.015040000000000001,0.004811586017104964
6,0.92,0.15,0.035707142142714254,0.005058,0.0017160519689100324,0.029906666666666668,0.00906817373095679
94,0.93,0.09,0.02861817604250837,0.001448,0.0002959475629228935,0.009155555555555556,0.0016625958515846379
70,0.94,0.1,0.030000000000000002,0.0016920000000000001,0.0003852938618768797,0.0112,0.002057376970805302
31,0.95,0.08,0.027129319932501072,0.0010220000000000001,0.00018121578297709056,0.006425,0.0007684704776372348
84,0.96,0.07,0.02551470164434615,0.0016799999999999999,0.0005706627725723837,0.015485714285714285,0.006005556222312684
21,0.97,0.05,0.021794494717703367,0.0008600000000000002,0.00021155613912151073,0.00896,0.0017594544609054249
