,target,day,strength,num_trajectories,pHat,pHat_std,FS_avg,FS_std,FS_conditional,FS_conditional_std
179,w1,5,0.0,100,0.79,0.0407308237088326,0.6575920000000001,0.033893764962895465,0.832281012658228,0.0011284241463899827
75,w1,5,0.1,100,0.62,0.048538644398046386,0.5137179999999999,0.04019541278255518,0.8283387096774193,0.001283146080898683
152,w1,5,0.2,100,0.76,0.04270831300812525,0.621828,0.03493814981020031,0.8181,0.0011685544020633857
35,w1,5,0.3,100,0.73,0.044395945760846225,0.589288,0.03583604278599969,0.8071561643835616,0.0012758257052805917
331,w1,5,0.4,100,0.72,0.0448998886412873,0.576576,0.035950326649976355,0.8006666666666666,0.0014835830002121614
449,w1,5,0.5,100,0.73,0.044395945760846225,0.575706,0.035011378316770106,0.7885150684931508,0.001592348555101567
257,w1,5,0.6,100,0.66,0.04737087712930804,0.514058,0.036888938428206355,0.7787272727272727,0.0015173356158849599
363,w1,5,0.7,100,0.74,0.04386342439892262,0.562334,0.03333363143193373,0.7598162162162163,0.0014510254642266908
201,w1,5,0.8,100,0.77,0.042083250825001625,0.575514,0.03147371477979681,0.747348051948052,0.001874836798780027
84,w1,5,0.9,100,0.7,0.045825756949558406,0.5095540000000001,0.033365946095382945,0.7278171428571429,0.0018704217263500586
258,w1,5,1.0,100,0.71,0.04537620521815371,0.499156,0.03191255484350948,0.7028957746478874,0.002057564207658186
362,w1,5,1.1,100,0.73,0.044395945760846225,0.49156599999999995,0.029907756459487234,0.6732657534246576,0.0018639081446505923
332,w1,5,1.2,100,0.77,0.042083250825001625,0.4973840000000001,0.027214305602752387,0.6458753246753246,0.0020260074554719148
448,w1,5,1.3,100,0.75,0.04330127018922193,0.4614320000000001,0.02667582841750186,0.6151440000000001,0.0022224440920352133
153,w1,5,1.4,100,0.74,0.04386342439892262,0.43799000000000005,0.026005099711402763,0.5917918918918919,0.0023432804610317493
34,w1,5,1.5,100,0.68,0.0466476151587624,0.37767,0.02593294667021085,0.555214705882353,0.0024040058703144653
180,w1,5,1.6,100,0.77,0.042083250825001625,0.40719,0.022314598696817293,0.5287194805194805,0.0024250596450829027
74,w1,5,1.7,100,0.8,0.04,0.39314,0.019780350148569163,0.4913625,0.002892838341815007
238,w1,5,1.8,100,0.64,0.048,0.300464,0.022653989649507655,0.46929687499999995,0.00397001946278757
356,w1,5,1.9,100,0.7,0.045825756949558406,0.30222999999999994,0.0199956289973584,0.4316228571428572,0.004325171777373713
6,w1,5,2.0,100,0.74,0.04386342439892262,0.2980880000000001,0.017948664645594112,0.4027243243243243,0.004386346940716682
119,w1,5,2.1,100,0.76,0.04270831300812525,0.278804,0.01612526365179807,0.36676315789473685,0.00510027660773744
95,w1,5,2.2,100,0.69,0.04624932431938871,0.22389999999999996,0.01595319065265629,0.3243536231884057,0.00792470780682853
219,w1,5,2.3,100,0.66,0.04737087712930804,0.19426799999999997,0.014997332354788968,0.294169696969697,0.008460957970479643
398,w1,5,2.4,100,0.69,0.04624932431938871,0.18523199999999995,0.013571592012730121,0.2683333333333333,0.008000939523350912
277,w1,5,2.5,100,0.77,0.042083250825001625,0.195712,0.012147014224079922,0.25406493506493505,0.007522853193848564
418,w1,5,2.6,100,0.69,0.04624932431938871,0.158478,0.011767123657037007,0.2295449275362319,0.007397066107836581
305,w1,5,2.7,100,0.68,0.0466476151587624,0.13655399999999998,0.010754349391757737,0.20064999999999997,0.007830714717896418
22,w1,5,2.8,100,0.62,0.048538644398046386,0.111618,0.010456964414207405,0.17978387096774193,0.009340099956000308
136,w1,5,2.9,100,0.7,0.045825756949558406,0.11287199999999999,0.00902168167028742,0.1610885714285714,0.007442778322274481
419,w1,5,3.0,100,0.67,0.04702127178203499,0.09892200000000002,0.008680869954100221,0.14751044776119407,0.007816291550860728
304,w1,5,3.1,100,0.66,0.04737087712930804,0.090888,0.008066719442251602,0.1374939393939394,0.007251588242735857
399,w1,5,3.2,100,0.69,0.04624932431938871,0.07634400000000001,0.007137414702817821,0.11043478260869567,0.007256951074932018
276,w1,5,3.3,100,0.71,0.04537620521815371,0.077142,0.006953214678118316,0.1084,0.00696061410940184
96,w1,5,3.4,100,0.65,0.047696960070847276,0.063652,0.0062842861933556145,0.09772615384615384,0.006514382550104295
218,w1,5,3.5,100,0.7,0.045825756949558406,0.069228,0.006268543065178702,0.09871714285714285,0.006227404206303622
7,w1,5,3.6,100,0.72,0.0448998886412873,0.057248,0.005452504833560444,0.07940277777777778,0.005744731205306974
118,w1,5,3.7,100,0.69,0.04624932431938871,0.048374,0.005024674839230894,0.06996521739130435,0.0055888146409495895
403,w1,5,3.8,100,0.64,0.048,0.04177200000000001,0.00463250344414335,0.06494375,0.005392669845403429
289,w1,5,3.9,100,0.61,0.048774993593028795,0.035239999999999994,0.003980285416901657,0.05737704918032786,0.004687105364381734
299,w1,5,4.0,100,0.73,0.044395945760846225,0.04734400000000001,0.0047186710671543956,0.06457534246575342,0.005168383967427385
424,w1,5,4.1,100,0.72,0.0448998886412873,0.043838,0.004679798880293896,0.060625000000000005,0.005316283420385354
281,w1,5,4.2,100,0.72,0.0448998886412873,0.036774,0.003642040807020152,0.05081111111111111,0.003976068240824437
394,w1,5,4.3,100,0.68,0.0466476151587624,0.036137999999999997,0.003815051973433651,0.052879411764705876,0.0043118793414379155
213,w1,5,4.4,100,0.69,0.04624932431938871,0.034844,0.0035398887892135822,0.050159420289855074,0.003917583152417329
100,w1,5,4.5,100,0.59,0.04918333050943175,0.028253999999999998,0.003412185053598353,0.047444067796610166,0.004267827756100215
125,w1,5,4.6,100,0.62,0.048538644398046386,0.025707999999999998,0.0027571513124962877,0.04093870967741936,0.003149178868941633
0,w1,5,4.7,100,0.67,0.04702127178203499,0.024423999999999998,0.002785194111727224,0.03605373134328359,0.0033398878866484046
291,w1,5,4.8,100,0.65,0.047696960070847276,0.030574,0.003294856178955312,0.04657230769230769,0.0037995225534330533
400,w1,5,4.9,100,0.69,0.04624932431938871,0.028051999999999997,0.0029744762496950617,0.04048405797101449,0.003369807766360557
126,w1,5,5.0,100,0.73,0.044395945760846225,0.022629999999999997,0.0021827988913319524,0.030736986301369867,0.0023667962632815138
105,w1,10,0.0,100,0.71,0.04537620521815371,0.591818,0.03780943692730692,0.8334140845070424,0.001022673516768191
223,w1,10,0.1,100,0.77,0.042083250825001625,0.635222,0.03470793521890923,0.8248597402597403,0.0010705967014475984
29,w1,10,0.2,100,0.71,0.04537620521815371,0.5820740000000001,0.03718765834574691,0.8196901408450704,0.0010819819789147141
141,w1,10,0.3,100,0.71,0.04537620521815371,0.575496,0.03677021071247757,0.8104281690140844,0.001234582657749603
