,target,day,strength,num_trajectories,pHat,pHat_std,FS_avg,FS_std,FS_conditional,FS_conditional_std
40,w1,5,0.0,100,0.66,0.04737087712930804,0.5477000000000001,0.03929738479848246,0.8296818181818182,0.0013398461959121366
96,w1,5,0.5,100,0.74,0.04386342439892262,0.592324,0.035106457158762115,0.8003486486486486,0.0012172851807448132
54,w1,5,1.0,100,0.7,0.045825756949558406,0.5320280000000001,0.03483051891890214,0.75992,0.0016622011469919116
8,w1,5,1.5,100,0.76,0.04270831300812525,0.521474,0.029325786012313466,0.6860710526315789,0.001898726442785845
1,w1,5,2.0,100,0.69,0.04624932431938871,0.3965559999999999,0.026608247680747415,0.5745855072463767,0.002309900588393385
58,w1,5,2.5,100,0.73,0.044395945760846225,0.33861399999999997,0.020744009883337404,0.4637616438356165,0.0035883062251619077
89,w1,5,3.0,100,0.71,0.04537620521815371,0.23807199999999998,0.016380548347353942,0.3351774647887323,0.008620678901916414
49,w1,5,3.5,100,0.61,0.048774993593028795,0.14169599999999996,0.01274019920723377,0.23209180327868856,0.009629446880217484
65,w1,5,4.0,100,0.62,0.048538644398046386,0.090602,0.008704513999069678,0.14583225806451613,0.008223719145100339
20,w1,5,4.5,100,0.68,0.0466476151587624,0.07316,0.007022478195053366,0.10725588235294117,0.007295139688344618
26,w1,5,5.0,100,0.61,0.048774993593028795,0.045406000000000016,0.005587761236846113,0.07404918032786886,0.007029744698336372
22,w1,10,0.0,100,0.66,0.04737087712930804,0.5481199999999999,0.03932870849646604,0.8303333333333334,0.001276252932933573
64,w1,10,0.5,100,0.66,0.04737087712930804,0.5289440000000001,0.03795366333623146,0.8012848484848485,0.001284570157147084
83,w1,10,1.0,100,0.7,0.045825756949558406,0.5320280000000001,0.03483051891890214,0.75992,0.0016622011469919116
30,w1,10,1.5,100,0.69,0.04624932431938871,0.47067,0.03155353500005982,0.6819971014492754,0.0018328125181231495
38,w1,10,2.0,100,0.65,0.047696960070847276,0.379218,0.02786148238626222,0.5832615384615385,0.002692794410781232
75,w1,10,2.5,100,0.74,0.04386342439892262,0.35662799999999995,0.021277468086217402,0.4818297297297297,0.0034670834117403945
70,w1,10,3.0,100,0.73,0.044395945760846225,0.26921999999999996,0.01717894886190654,0.36870136986301366,0.007189241689574977
16,w1,10,3.5,100,0.74,0.04386342439892262,0.21244800000000003,0.014049531556603587,0.2870054054054054,0.008458328197369674
93,w1,10,4.0,100,0.67,0.04702127178203499,0.140234,0.011843272201549706,0.20910447761194031,0.009895965284169288
44,w1,10,4.5,100,0.69,0.04624932431938871,0.12767799999999999,0.010597792183280441,0.18488115942028982,0.00910625029732175
11,w1,10,5.0,100,0.66,0.04737087712930804,0.09609599999999997,0.009037690182784537,0.1453121212121212,0.00891985551360647
61,w1,15,0.0,100,0.72,0.0448998886412873,0.5958,0.037138404381448595,0.8273305555555557,0.0012504206682413556
0,w1,15,0.5,100,0.7,0.045825756949558406,0.561374,0.03674720306690021,0.8018457142857145,0.0014766767511562061
46,w1,15,1.0,100,0.7,0.045825756949558406,0.5320280000000001,0.03483051891890214,0.75992,0.0016622011469919116
90,w1,15,1.5,100,0.74,0.04386342439892262,0.505838,0.029994383033494786,0.6834594594594595,0.001771723066878188
95,w1,15,2.0,100,0.74,0.04386342439892262,0.43574999999999997,0.025882747825530423,0.5887486486486487,0.002589541985812646
42,w1,15,2.5,100,0.64,0.048,0.321378,0.02423597935219454,0.501996875,0.004254770971425737
9,w1,15,3.0,100,0.71,0.04537620521815371,0.29891799999999996,0.019600680823889768,0.4208788732394366,0.006301732038350237
52,w1,15,3.5,100,0.66,0.04737087712930804,0.23784000000000002,0.017765173570781684,0.36023030303030307,0.007549198587260998
34,w1,15,4.0,100,0.75,0.04330127018922193,0.220788,0.014344554874934254,0.2943066666666666,0.008805693780898977
79,w1,15,4.5,100,0.63,0.048280430818293245,0.171072,0.014231134183894129,0.27135873015873024,0.00887709893701309
72,w1,15,5.0,100,0.69,0.04624932431938871,0.160008,0.012650575613781375,0.231736231884058,0.009778060987170612
78,w2,5,0.0,100,0.68,0.0466476151587624,0.6474820000000001,0.04439734542469854,0.9520352941176471,0.0005283312695542121
35,w2,5,0.5,100,0.71,0.04537620521815371,0.5817040000000001,0.037166291876376364,0.8191605633802819,0.0013041834916672846
12,w2,5,1.0,100,0.7,0.045825756949558406,0.5320280000000001,0.03483051891890214,0.75992,0.0016622011469919116
74,w2,5,1.5,100,0.67,0.04702127178203499,0.48983,0.03437506077085538,0.7309283582089552,0.0018042928018766142
68,w2,5,2.0,100,0.66,0.04737087712930804,0.46705199999999997,0.03351984720967564,0.7075060606060606,0.0016787398510631876
19,w2,5,2.5,100,0.74,0.04386342439892262,0.5055780000000001,0.02999134753824843,0.6831216216216216,0.0020599659502301567
27,w2,5,3.0,100,0.75,0.04330127018922193,0.4984119999999999,0.02879571632309223,0.6644666666666665,0.0018707967009529117
85,w2,5,3.5,100,0.66,0.04737087712930804,0.422936,0.030373337765876175,0.6406727272727273,0.002268564415267773
5,w2,5,4.0,100,0.79,0.0407308237088326,0.496168,0.02561279722638666,0.6279898734177216,0.0019234239443559672
57,w2,5,4.5,100,0.69,0.04624932431938871,0.41793399999999997,0.028021064655719276,0.605576811594203,0.0017615346092228093
91,w2,5,5.0,100,0.66,0.04737087712930804,0.388574,0.02789721429175322,0.5885999999999999,0.0019057016571972286
77,w2,10,0.0,100,0.69,0.04624932431938871,0.6573019999999999,0.044040531286077836,0.9524869565217391,0.0005236595616013672
36,w2,10,0.5,100,0.65,0.047696960070847276,0.533108,0.03910813403065915,0.8200276923076923,0.0011837629454284765
17,w2,10,1.0,100,0.7,0.045825756949558406,0.5320280000000001,0.03483051891890214,0.75992,0.0016622011469919116
69,w2,10,1.5,100,0.61,0.048774993593028795,0.4448239999999999,0.035567180858763606,0.729039344262295,0.0020526623251954203
62,w2,10,2.0,100,0.64,0.048,0.45241600000000004,0.03393528955880589,0.70675625,0.001962656585860969
24,w2,10,2.5,100,0.68,0.0466476151587624,0.46637,0.032012164859627976,0.6857264705882352,0.0022238869320873153
29,w2,10,3.0,100,0.6,0.04898979485566356,0.39976,0.03263050425598722,0.6660733333333332,0.0015878844533016362
84,w2,10,3.5,100,0.66,0.04737087712930804,0.427282,0.030683058138979563,0.6472606060606061,0.00219737287709882
6,w2,10,4.0,100,0.62,0.048538644398046386,0.39052400000000004,0.030579394079019946,0.6297032258064517,0.0021194394932544758
55,w2,10,4.5,100,0.59,0.04918333050943175,0.35804199999999997,0.02985065135570747,0.6066372881355933,0.002241872419785812
87,w2,10,5.0,100,0.64,0.048,0.37990999999999997,0.028505714427110928,0.5934406249999999,0.0022051926453875836
39,w2,15,0.0,100,0.67,0.04702127178203499,0.635664,0.04459257694998126,0.9486059701492536,0.0006112478083861866
98,w2,15,0.5,100,0.73,0.044395945760846225,0.5993160000000001,0.036436531468294286,0.820876712328767,0.0008615959664990908
