,OR,p,pHat,pHat_std,FS_avg,FS_std,FS_conditional,FS_conditional_std,exp_error_5,poly_error_5,exp_error_10,poly_error_10,exp_error_15,poly_error_15
58,0.1,0.0,0.702,0.020454632727086548,0.4838932,0.01410542711113421,0.689185754985755,0.0009015525748812595,3.518094826890791e-08,2.0622091553782966e-06,1.0185625963125528e-06,0.00039804643986831136,0.00011466496042460401,0.005133795917968745
59,0.1,0.02,0.744,0.01951737687293044,0.5110428,0.013416079129772605,0.686781182795699,0.0009292873049124621,6.91527745938085e-08,2.1691488427168262e-06,1.7239288897457903e-07,0.0003704889885016183,3.7861575900309106e-05,0.004446687657246464
57,0.1,0.04,0.718,0.020123419192572618,0.4916556,0.01378792334390063,0.6846451253481894,0.000932311057960067,3.518094826890791e-08,2.0622091553782966e-06,9.250625188959498e-07,0.0003961574759985307,0.00011422848389147996,0.005111208990099954
45,0.1,0.06,0.744,0.01951737687293044,0.5064392,0.013297602844374621,0.6806,0.0009706914430825686,4.8632020276268744e-08,1.9786637899777835e-06,3.7128580185874053e-07,0.00037355492070005895,7.582310271548561e-05,0.004802430619908623
39,0.1,0.08,0.742,0.019567115270269147,0.5050524,0.013328599186279107,0.6805568733153639,0.0009350520084110312,1.6034888404324846e-08,1.6575586676575376e-06,1.4653113128291209e-06,0.0004062719345767972,0.00020229042548681824,0.005605206424237187
53,0.1,0.1,0.728,0.019900552756142227,0.49472400000000005,0.013532875441974629,0.6794631868131867,0.0009219604491479152,5.210560069946754e-08,2.093916906149063e-06,1.436895107018246e-06,0.00040521943680297135,0.00012839154041252877,0.005223173646389031
50,0.1,0.12,0.734,0.019760769215797242,0.4963144,0.01337128170615218,0.6760621253405994,0.0009468201174314758,5.222812216324887e-08,2.1374410919460597e-06,1.398207530973688e-07,0.0003572231546647239,0.00010376637462582711,0.004949787794243359
55,0.1,0.14,0.728,0.019900552756142227,0.4914988,0.013443618114076286,0.675006043956044,0.0009426814476120902,2.9485960411685677e-08,1.5740133022570246e-06,1.8373234759435861e-06,0.0004074440789352573,0.0001345892862376685,0.005273737408800451
54,0.1,0.16,0.722,0.020035768016225385,0.4858856000000001,0.013494129582350986,0.6728542936288089,0.0009937228877881753,5.222812216324887e-08,2.1374410919460597e-06,7.375330703998829e-06,0.00046994894105824975,0.0005142950245795758,0.00695717858150421
36,0.1,0.18,0.688,0.020719845559269985,0.462,0.01392125435727686,0.6713802325581395,0.000980751510869688,6.91527745938085e-08,2.1691488427168262e-06,1.0510059170405216e-06,0.0003987932314068282,4.805853996608739e-05,0.00464897356830196
52,0.1,0.2,0.744,0.01951737687293044,0.5002796,0.013134661526193964,0.6723123655913978,0.0009473480730310274,6.91527745938085e-08,2.1691488427168262e-06,1.3444993393991476e-06,0.00040342681277774314,0.00015003454177620163,0.00526649095093985
